ID,LAT,LON,panoId,LAG,HAG,LOWELEV_ST,FFE_ft,DEM_ft,camera_height_m,image_date,elevation_wgs84_m,elevation_egm96_m,pano_lat,pano_lng
4,36.775462,-76.32384,dseu1kHtzrPCmHqmdx8gWA,7.225,8.225,7.625,8.725,4.72836,2.410013676,2019-04,-35.541784,2.945257,36.775588,-76.323584
5,36.775673,-76.323941,Ad-v-htV8SoT9M8Ykh7hLg,6.925,7.725,7.125,9.125,4.94519,2.417895555,2019-04,-35.64302,2.843621,36.775756,-76.323665
7,36.75325,-76.281071,xGyQDK2_H6onPslXlqx3bw,9.461,9.761,9.061,10.461,7.34894,2.91748929,2015-07,-34.93692,3.701882,36.753064,-76.28127
14,37.077167,-76.276802,bE3bqSRzLh2zxBuU08l-uA,6.7,7.3,6.5,11.3,3.88592,2.915128231,2015-08,-32.512294,5.626706,37.076964,-76.276899
22,37.016987,-76.43363,vQfsncYdTZn4gXdckXVxiA,9,9,,12,9.01132,3.017601013,2015-08,-34.127688,3.744016,37.017093,-76.433404
29,36.823854,-76.367267,CNyiz8-6dYl0EsK7ymH7vg,6.7,7.4,6.9,12.2,4.71921,2.296915054,2019-04,-35.08174,3.218633,36.823964,-76.367383
36,36.814519,-76.330584,O74rrlRIePpuYY8F3x6q_w,7.802,7.902,,10.902,5.75094,2.409302473,2019-04,-35.013317,3.401169,36.814711,-76.330645
40,36.804209,-76.311817,YyyEa-Wi0vkrKsThmcoW1w,8.002,8.502,,11.902,6.6006,2.432496309,2019-04,-35.031071,3.44958,36.804216,-76.312066
44,36.832975,-76.358552,npv64GiGRKbFtIGAE-0JdQ,4.7,5.7,4.3,9.8,4.44275,2.469205141,2019-05,-35.865861,2.44689,36.833188,-76.358616
54,36.827959,-76.312218,BHzjyskJzKBjjOHJtWPrDQ,8.415,8.915,,11.515,5.07088,2.360417128,2019-05,-35.628101,2.818726,36.827909,-76.312563
64,36.820844,-76.299442,i0MTDxyPoPmkRQMB7WixBA,7.411,7.611,,10.711,6.48293,2.409350634,2019-05,-35.197121,3.295451,36.820744,-76.299589
67,36.836601,-76.304794,zTORU0ioDEdw3Vj0I9PFhQ,8.3,8.7,8.2,11.1,7.24777,2.387374163,2019-03,-34.933309,3.522815,36.836797,-76.304798
69,36.836585,-76.30509,VBjgduu_B4K7e21IYPTp8g,8.318,8.118,,18.818,7.63511,2.409597635,2019-03,-34.780192,3.675099,36.83679,-76.305079
72,36.841047,-76.312895,p8mzcSK4NcYtnuw5jBbt1A,7.6,9.9,7.4,10.7,6.44911,2.408958435,2019-05,-35.120065,3.307441,36.841054,-76.31307
75,36.84395,-76.311933,oqt3dh1fM6dsAK1PKHV3ww,6.5,7,6.5,10.5,5.87985,2.869871855,2015-10,-34.927235,3.499225,36.844103,-76.311959
77,36.845885,-76.310913,7eUpDACXr2d8HUl5b4cjUQ,7.5,8.1,7.6,9.9,6.48246,2.920539379,2016-04,-34.438609,3.988965,36.845872,-76.310671
91,37.106409,-76.404808,m0qrrnc88ws4r80hnvP2eQ,8.304,8.704,,12.104,7.22515,3.049722195,2015-09,-34.073978,3.686333,37.106558,-76.40499
92,37.110152,-76.397804,K5V5cfZ1HyHWYXbziBpiag,6.5,6.6,6,15.7,5.88533,2.915099382,2015-09,-34.39243,3.378566,37.109919,-76.397863
101,37.188565,-76.437288,u9ZJRPA_1kXYBToOCxW0cA,8.5,8.7,8.5,11,9.25143,2.963938475,2016-03,-31.259255,6.256087,37.1885,-76.43707
104,37.173368,-76.410297,Q04G2fdI8ShQzLddsc-BTA,4.916,5.116,4.516,14.716,4.18745,2.927375078,2015-09,-32.765633,4.846122,37.173284,-76.409989
108,37.210078,-76.418868,JvyH--znHaeMrds7nMY5_w,4.523,4.923,4.423,9.423,4.48638,2.9476614,2016-05,-32.497004,5.017419,37.210083,-76.419241
138,37.113978,-76.406748,pNbmQf-CMFLc2aO4nq9E6g,6.7,7.8,,10.9,7.21306,2.912498236,2015-09,-34.173308,3.568304,37.113814,-76.406564
